Time,Exchange,Underlying,Product description,Trading Class,Intraday Initial,Intraday Maintenance,Overnight Initial,Overnight Maintenance,Currency,Has Options,Short Overnight Initial,Short Overnight Maintenance
2020-05-23T12:11:36Z,BELFOX,BFX,BEL 20 Index,BXF,6901.250000,,6901.250000,5521.000000,EUR,Yes 2,6901.250000,5521.000000
2020-05-25T06:08:13Z,BELFOX,BFX,BEL 20 Index,BXF,6625.000000,,6625.000000,5300.000000,EUR,Yes 2,6625.000000,5300.000000
2020-05-25T12:09:57Z,BELFOX,BFX,BEL 20 Index,BXF,6510.000000,,6510.000000,5208.000000,EUR,Yes 2,6510.000000,5208.000000
2020-05-27T06:08:17Z,BELFOX,BFX,BEL 20 Index,BXF,6601.250000,,6601.250000,5281.000000,EUR,Yes 2,6601.250000,5281.000000
2020-05-28T06:09:32Z,BELFOX,BFX,BEL 20 Index,BXF,6828.750000,,6828.750000,5463.000000,EUR,Yes 2,6828.750000,5463.000000
2020-05-29T06:06:46Z,BELFOX,BFX,BEL 20 Index,BXF,6833.750000,,6833.750000,5467.000000,EUR,Yes 2,6833.750000,5467.000000
2020-06-01T06:06:53Z,BELFOX,BFX,BEL 20 Index,BXF,6777.500000,,6777.500000,5422.000000,EUR,Yes 2,6777.500000,5422.000000
2020-06-01T12:08:11Z,BELFOX,BFX,BEL 20 Index,BXF,6490.000000,,6490.000000,5192.000000,EUR,Yes 2,6490.000000,5192.000000
2020-06-03T06:06:41Z,BELFOX,BFX,BEL 20 Index,BXF,6487.500000,,6487.500000,5190.000000,EUR,Yes 2,6487.500000,5190.000000
2020-06-04T06:06:42Z,BELFOX,BFX,BEL 20 Index,BXF,6448.750000,,6448.750000,5159.000000,EUR,Yes 2,6448.750000,5159.000000
2020-06-05T12:08:09Z,BELFOX,BFX,BEL 20 Index,BXF,6577.500000,,6577.500000,5262.000000,EUR,Yes 2,6577.500000,5262.000000
2020-06-08T06:07:08Z,BELFOX,BFX,BEL 20 Index,BXF,6456.250000,,6456.250000,5165.000000,EUR,Yes 2,6456.250000,5165.000000
2020-06-08T12:09:57Z,BELFOX,BFX,BEL 20 Index,BXF,6520.000000,,6520.000000,5216.000000,EUR,Yes 2,6520.000000,5216.000000
2020-06-10T06:07:11Z,BELFOX,BFX,BEL 20 Index,BXF,6347.500000,,6347.500000,5078.000000,EUR,Yes 2,6347.500000,5078.000000
2020-06-11T06:07:25Z,BELFOX,BFX,BEL 20 Index,BXF,6123.750000,,6123.750000,4899.000000,EUR,Yes 2,6123.750000,4899.000000
2020-06-12T06:07:40Z,BELFOX,BFX,BEL 20 Index,BXF,5908.750000,,5908.750000,4727.000000,EUR,Yes 2,5908.750000,4727.000000
2020-06-15T06:07:06Z,BELFOX,BFX,BEL 20 Index,BXF,5698.750000,,5698.750000,4559.000000,EUR,Yes 2,5698.750000,4559.000000
2020-06-15T12:08:36Z,BELFOX,BFX,BEL 20 Index,BXF,5602.500000,,5602.500000,4482.000000,EUR,Yes 2,5602.500000,4482.000000
2020-06-17T06:07:00Z,BELFOX,BFX,BEL 20 Index,BXF,5547.500000,,5547.500000,4438.000000,EUR,Yes 2,5547.500000,4438.000000
2020-06-18T06:07:47Z,BELFOX,BFX,BEL 20 Index,BXF,5688.750000,,5688.750000,4551.000000,EUR,Yes 2,5688.750000,4551.000000
2020-06-19T06:07:34Z,BELFOX,BFX,BEL 20 Index,BXF,5535.000000,,5535.000000,4428.000000,EUR,Yes 2,5535.000000,4428.000000
2020-06-22T06:08:02Z,BELFOX,BFX,BEL 20 Index,BXF,5358.750000,,5358.750000,4287.000000,EUR,Yes 2,5358.750000,4287.000000
2020-06-22T12:09:20Z,BELFOX,BFX,BEL 20 Index,BXF,5216.250000,,5216.250000,4173.000000,EUR,Yes 2,5216.250000,4173.000000
2020-06-24T06:09:31Z,BELFOX,BFX,BEL 20 Index,BXF,5043.750000,,5043.750000,4035.000000,EUR,Yes 2,5043.750000,4035.000000
2020-06-25T06:09:25Z,BELFOX,BFX,BEL 20 Index,BXF,5016.250000,,5016.250000,4013.000000,EUR,Yes 2,5016.250000,4013.000000
2020-06-26T06:07:45Z,BELFOX,BFX,BEL 20 Index,BXF,4862.500000,,4862.500000,3890.000000,EUR,Yes 2,4862.500000,3890.000000
2020-06-29T06:07:41Z,BELFOX,BFX,BEL 20 Index,BXF,4851.250000,,4851.250000,3881.000000,EUR,Yes 2,4851.250000,3881.000000
2020-06-29T12:09:08Z,BELFOX,BFX,BEL 20 Index,BXF,4687.500000,,4687.500000,3750.000000,EUR,Yes 2,4687.500000,3750.000000
2020-05-23T12:11:36Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,921.250000,,921.250000,737.000000,CAD,Yes 2,921.250000,737.000000
2020-05-25T06:08:13Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,917.500000,,917.500000,734.000000,CAD,Yes 2,917.500000,734.000000
2020-05-25T12:09:57Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,912.500000,,912.500000,730.000000,CAD,Yes 2,912.500000,730.000000
2020-05-27T06:08:17Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,908.750000,,908.750000,727.000000,CAD,Yes 2,908.750000,727.000000
2020-05-28T06:09:32Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,903.750000,,903.750000,723.000000,CAD,Yes 2,903.750000,723.000000
2020-05-29T06:06:46Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,898.750000,,898.750000,719.000000,CAD,Yes 2,898.750000,719.000000
2020-06-01T06:06:53Z,CDE,BAX,3 Month Canadian Bankers' Acceptance Futures,BAX,895.000000,,895.000000,716.000000,CAD,Yes 2,895.000000,716.000000
